path	stage	stage_kind	job_id	stage_iteration	global_iteration	peak_image	barrier_forward_ev	barrier_reverse_ev
TT_c	ci_01	ci_neb	62298828	75	104	03	0.12829478	0.12829478
TT_c	ci_01	ci_neb	62298828	76	105	03	0.12833478	0.12833478
TT_c	ci_01	ci_neb	62298828	77	106	03	0.12836478	0.12836478
TT_c	ci_01	ci_neb	62298828	78	107	03	0.12840478	0.12840478
TT_c	ci_01	ci_neb	62298828	79	108	03	0.12843478	0.12843478
TT_c	ci_01	ci_neb	62298828	80	109	03	0.12846478	0.12846478
TT_c	ci_01	ci_neb	62298828	81	110	03	0.12849478	0.12849478
TT_c	ci_01	ci_neb	62298828	82	111	03	0.12852478	0.12852478
TT_c	ci_01	ci_neb	62298828	83	112	03	0.12855478	0.12855478
TT_c	ci_01	ci_neb	62298828	84	113	03	0.12857478	0.12857478
TT_c	ci_01	ci_neb	62298828	85	114	03	0.12860478	0.12860478
TT_c	ci_01	ci_neb	62298828	86	115	03	0.12862478	0.12862478
TT_c	ci_01	ci_neb	62298828	87	116	03	0.12864478	0.12864478
TT_c	ci_01	ci_neb	62298828	88	117	03	0.12866478	0.12866478
TT_c	ci_01	ci_neb	62298828	89	118	03	0.12868478	0.12868478
TT_c	ci_01	ci_neb	62298828	90	119	03	0.12870478	0.12870478
TT_c	ci_01	ci_neb	62298828	91	120	03	0.12872478	0.12872478
TT_c	ci_01	ci_neb	62298828	92	121	03	0.12874478	0.12874478
TT_c	ci_01	ci_neb	62298828	93	122	03	0.12876478	0.12876478
TT_c	ci_01	ci_neb	62298828	94	123	03	0.12878478	0.12878478
TT_c	ci_01	ci_neb	62298828	95	124	03	0.12880478	0.12880478
TT_c	ci_01	ci_neb	62298828	96	125	03	0.12882478	0.12882478
TT_c	ci_01	ci_neb	62298828	97	126	03	0.12883478	0.12883478
TT_c	ci_01	ci_neb	62298828	98	127	03	0.12885478	0.12885478
TT_c	ci_01	ci_neb	62298828	99	128	03	0.12887478	0.12887478
TT_c	ci_01	ci_neb	62298828	100	129	03	0.12888478	0.12888478
TT_c	ci_01	ci_neb	62298828	101	130	03	0.12890478	0.12890478
TT_c	ci_01	ci_neb	62298828	102	131	03	0.12891478	0.12891478
TT_c	ci_01	ci_neb	62298828	103	132	03	0.12893478	0.12893478
TT_c	ci_01	ci_neb	62298828	104	133	03	0.12894478	0.12894478
TT_c	ci_01	ci_neb	62298828	105	134	03	0.12895478	0.12895478
TT_c	ci_01	ci_neb	62298828	106	135	03	0.12897478	0.12897478
TT_c	ci_01	ci_neb	62298828	107	136	03	0.12898478	0.12898478
TT_c	ci_01	ci_neb	62298828	108	137	03	0.12899478	0.12899478
TT_c	ci_01	ci_neb	62298828	109	138	03	0.12901478	0.12901478
TT_c	ci_01	ci_neb	62298828	110	139	03	0.12902478	0.12902478
TT_c	ci_01	ci_neb	62298828	111	140	03	0.12903478	0.12903478
TT_c	ci_01	ci_neb	62298828	112	141	03	0.12905478	0.12905478
TT_c	ci_01	ci_neb	62298828	113	142	03	0.12906478	0.12906478
TT_c	ci_01	ci_neb	62298828	114	143	03	0.12907478	0.12907478
TT_c	ci_01	ci_neb	62298828	115	144	03	0.12908478	0.12908478
TT_c	ci_01	ci_neb	62298828	116	145	03	0.12909478	0.12909478
TT_c	ci_01	ci_neb	62298828	117	146	03	0.12910478	0.12910478
TT_c	ci_01	ci_neb	62298828	118	147	03	0.12912478	0.12912478
TT_c	ci_01	ci_neb	62298828	119	148	03	0.12913478	0.12913478
TT_c	ci_01	ci_neb	62298828	120	149	03	0.12913478	0.12913478
TT_c	ci_01	ci_neb	62298828	121	150	03	0.12914478	0.12914478
TT_c	ci_01	ci_neb	62298828	122	151	03	0.12915478	0.12915478
TT_c	ci_01	ci_neb	62298828	123	152	03	0.12916478	0.12916478
TT_c	ci_01	ci_neb	62298828	124	153	03	0.12917478	0.12917478
TT_c	ci_01	ci_neb	62298828	125	154	03	0.12918478	0.12918478
TT_c	ci_01	ci_neb	62298828	126	155	03	0.12919478	0.12919478
TO	pre	pre_neb	62307728	1	1	02	0.46027478	0.39737078
TO	pre	pre_neb	62307728	2	2	02	0.45296478	0.39006078
TO	pre	pre_neb	62307728	3	3	02	0.44718478	0.38428078
TO	pre	pre_neb	62307728	4	4	02	0.44258478	0.37968078
TO	pre	pre_neb	62307728	5	5	02	0.43893478	0.37603078
TO	pre	pre_neb	62307728	6	6	02	0.43593478	0.37303078
TO	pre	pre_neb	62307728	7	7	02	0.43344478	0.37054078
TO	pre	pre_neb	62307728	8	8	02	0.43140478	0.36850078
TO	pre	pre_neb	62307728	9	9	02	0.42972478	0.36682078
TO	pre	pre_neb	62307728	10	10	02	0.42828478	0.36538078
TO	pre	pre_neb	62307728	11	11	02	0.42706478	0.36416078
TO	pre	pre_neb	62307728	12	12	02	0.42603478	0.36313078
TO	pre	pre_neb	62307728	13	13	02	0.42515478	0.36225078
TO	pre	pre_neb	62307728	14	14	02	0.42438478	0.36148078
TO	pre	pre_neb	62307728	15	15	02	0.42368478	0.36078078
TO	pre	pre_neb	62307728	16	16	02	0.42306478	0.36016078
TO	pre	pre_neb	62307728	17	17	02	0.42250478	0.35960078
TO	pre	pre_neb	62307728	18	18	02	0.42201478	0.35911078
TO	pre	pre_neb	62307728	19	19	02	0.42157478	0.35867078
TO	pre	pre_neb	62307728	20	20	02	0.42116478	0.35826078
TO	pre	pre_neb	62307728	21	21	02	0.42079478	0.35789078
TO	pre	pre_neb	62307728	22	22	02	0.42045478	0.35755078
TO	pre	pre_neb	62307728	23	23	02	0.42013478	0.35723078
TO	pre	pre_neb	62307728	24	24	02	0.41983478	0.35693078
