path	stage	stage_kind	stage_iteration	global_iteration	max_projected_force_ev_a	rms_projected_force_ev_a	force_limit_ev_a
TT_c	ci_01	ci_neb	94	123	0.04701300	0.00469623	0.03000000
TT_c	ci_01	ci_neb	95	124	0.04613600	0.00462550	0.03000000
TT_c	ci_01	ci_neb	96	125	0.04569900	0.00461572	0.03000000
TT_c	ci_01	ci_neb	97	126	0.04515000	0.00451826	0.03000000
TT_c	ci_01	ci_neb	98	127	0.04412600	0.00442792	0.03000000
TT_c	ci_01	ci_neb	99	128	0.04354700	0.00434590	0.03000000
TT_c	ci_01	ci_neb	100	129	0.04281900	0.00428821	0.03000000
TT_c	ci_01	ci_neb	101	130	0.04229200	0.00420037	0.03000000
TT_c	ci_01	ci_neb	102	131	0.04166200	0.00414160	0.03000000
TT_c	ci_01	ci_neb	103	132	0.04082800	0.00408476	0.03000000
TT_c	ci_01	ci_neb	104	133	0.04004700	0.00406612	0.03000000
TT_c	ci_01	ci_neb	105	134	0.03920200	0.00401763	0.03000000
TT_c	ci_01	ci_neb	106	135	0.03885300	0.00394630	0.03000000
TT_c	ci_01	ci_neb	107	136	0.03855800	0.00389850	0.03000000
TT_c	ci_01	ci_neb	108	137	0.03791400	0.00381961	0.03000000
TT_c	ci_01	ci_neb	109	138	0.03775400	0.00374630	0.03000000
TT_c	ci_01	ci_neb	110	139	0.03728500	0.00371366	0.03000000
TT_c	ci_01	ci_neb	111	140	0.03680900	0.00367716	0.03000000
TT_c	ci_01	ci_neb	112	141	0.03640900	0.00362043	0.03000000
TT_c	ci_01	ci_neb	113	142	0.03595800	0.00354922	0.03000000
TT_c	ci_01	ci_neb	114	143	0.03560700	0.00348353	0.03000000
TT_c	ci_01	ci_neb	115	144	0.03470100	0.00342313	0.03000000
TT_c	ci_01	ci_neb	116	145	0.03434500	0.00339286	0.03000000
TT_c	ci_01	ci_neb	117	146	0.03378100	0.00333214	0.03000000
TT_c	ci_01	ci_neb	118	147	0.03343600	0.00328608	0.03000000
TT_c	ci_01	ci_neb	119	148	0.03297000	0.00323460	0.03000000
TT_c	ci_01	ci_neb	120	149	0.03265000	0.00320926	0.03000000
TT_c	ci_01	ci_neb	121	150	0.03229600	0.00315653	0.03000000
TT_c	ci_01	ci_neb	122	151	0.03191500	0.00309711	0.03000000
TT_c	ci_01	ci_neb	123	152	0.03130200	0.00305172	0.03000000
TT_c	ci_01	ci_neb	124	153	0.03076300	0.00299423	0.03000000
TT_c	ci_01	ci_neb	125	154	0.03029600	0.00294890	0.03000000
TT_c	ci_01	ci_neb	126	155	0.02975300	0.00293441	0.03000000
TO	02_to	pre_neb	1	1	0.54310500	0.07266361	0.10000000
TO	02_to	pre_neb	2	2	0.47697800	0.06552922	0.10000000
TO	02_to	pre_neb	3	3	0.41841500	0.05914395	0.10000000
TO	02_to	pre_neb	4	4	0.37166200	0.05388725	0.10000000
TO	02_to	pre_neb	5	5	0.32806000	0.04951231	0.10000000
TO	02_to	pre_neb	6	6	0.29984400	0.04566398	0.10000000
TO	02_to	pre_neb	7	7	0.26469800	0.04207303	0.10000000
TO	02_to	pre_neb	8	8	0.24120900	0.03874622	0.10000000
TO	02_to	pre_neb	9	9	0.23726100	0.03625169	0.10000000
TO	02_to	pre_neb	10	10	0.23394600	0.03389405	0.10000000
TO	02_to	pre_neb	11	11	0.23011700	0.03182747	0.10000000
TO	02_to	pre_neb	12	12	0.21935400	0.02969844	0.10000000
TO	02_to	pre_neb	13	13	0.21056900	0.02798442	0.10000000
TO	02_to	pre_neb	14	14	0.20610800	0.02642214	0.10000000
TO	02_to	pre_neb	15	15	0.19811800	0.02507753	0.10000000
TO	02_to	pre_neb	16	16	0.19204700	0.02384970	0.10000000
TO	02_to	pre_neb	17	17	0.18769900	0.02277306	0.10000000
TO	02_to	pre_neb	18	18	0.18329900	0.02180382	0.10000000
TO	02_to	pre_neb	19	19	0.17294400	0.02076149	0.10000000
TO	02_to	pre_neb	20	20	0.16585300	0.02003363	0.10000000
TO	02_to	pre_neb	21	21	0.16095200	0.01933393	0.10000000
TO	02_to	pre_neb	22	22	0.15646400	0.01865350	0.10000000
TO	02_to	pre_neb	23	23	0.14831000	0.01816948	0.10000000
TO	02_to	pre_neb	24	24	0.14507900	0.01758424	0.10000000
TO	02_to	pre_neb	25	25	0.14023300	0.01706193	0.10000000
TO	02_to	pre_neb	26	26	0.13588600	0.01653467	0.10000000
TO	02_to	pre_neb	27	27	0.13102100	0.01612168	0.10000000
TO	02_to	pre_neb	28	28	0.12515800	0.01572907	0.10000000
TO	02_to	pre_neb	29	29	0.11798500	0.01529574	0.10000000
TO	02_to	pre_neb	30	30	0.11927000	0.01502633	0.10000000
TO	02_to	pre_neb	31	31	0.11493200	0.01469473	0.10000000
TO	02_to	pre_neb	32	32	0.11178700	0.01432948	0.10000000
TO	02_to	pre_neb	33	33	0.11316800	0.01412046	0.10000000
TO	02_to	pre_neb	34	34	0.10851200	0.01387503	0.10000000
TO	02_to	pre_neb	35	35	0.10248600	0.01355182	0.10000000
TO	02_to	pre_neb	36	36	0.10034000	0.01334260	0.10000000
TO	02_to	pre_neb	37	37	0.09846800	0.01307581	0.10000000
TO	ci_01	ci_neb	1	38	0.22110500	0.01697436	0.03000000
TO	ci_03	ci_neb	1	39	0.22110500	0.01697436	0.03000000
TO	ci_03	ci_neb	2	40	0.21755300	0.01677910	0.03000000
TO	ci_03	ci_neb	3	41	0.21442100	0.01658427	0.03000000
TO	ci_03	ci_neb	4	42	0.21039200	0.01630956	0.03000000
TO	ci_03	ci_neb	5	43	0.20658100	0.01609974	0.03000000
TO	ci_03	ci_neb	6	44	0.20301000	0.01583653	0.03000000
TO	ci_03	ci_neb	7	45	0.19982100	0.01566606	0.03000000
TO	ci_03	ci_neb	8	46	0.19643600	0.01543379	0.03000000
TO	ci_03	ci_neb	9	47	0.19251200	0.01529061	0.03000000
TO	ci_03	ci_neb	10	48	0.18868800	0.01510146	0.03000000
TO	ci_03	ci_neb	11	49	0.18520100	0.01489881	0.03000000
TO	ci_03	ci_neb	12	50	0.18197500	0.01469596	0.03000000
TO	ci_03	ci_neb	13	51	0.17887400	0.01458360	0.03000000
TO	ci_03	ci_neb	14	52	0.17571800	0.01448145	0.03000000
TO	ci_03	ci_neb	15	53	0.17278400	0.01427141	0.03000000
TO	ci_03	ci_neb	16	54	0.16982600	0.01412568	0.03000000
TO	ci_03	ci_neb	17	55	0.16746400	0.01400623	0.03000000
TO	ci_03	ci_neb	18	56	0.16408100	0.01388532	0.03000000
TO	ci_03	ci_neb	19	57	0.16077400	0.01374449	0.03000000
TO	ci_03	ci_neb	20	58	0.15856900	0.01365893	0.03000000
TO	ci_03	ci_neb	21	59	0.15621000	0.01346328	0.03000000
TO	ci_03	ci_neb	22	60	0.15382000	0.01334911	0.03000000
TO	ci_03	ci_neb	23	61	0.15100400	0.01315402	0.03000000
TO	ci_03	ci_neb	24	62	0.14831100	0.01295489	0.03000000
TO	ci_03	ci_neb	25	63	0.14546200	0.01277582	0.03000000
TO	ci_03	ci_neb	26	64	0.14232800	0.01270538	0.03000000
TO	ci_03	ci_neb	27	65	0.13989000	0.01260176	0.03000000
TO	ci_03	ci_neb	28	66	0.13786800	0.01247886	0.03000000
TO	ci_03	ci_neb	29	67	0.13568500	0.01233991	0.03000000
TO	ci_03	ci_neb	30	68	0.13286300	0.01214071	0.03000000
TO	ci_03	ci_neb	31	69	0.13032700	0.01204300	0.03000000
TO	ci_03	ci_neb	32	70	0.12799400	0.01194042	0.03000000
TO	ci_03	ci_neb	33	71	0.12572700	0.01177859	0.03000000
TO	ci_03	ci_neb	34	72	0.12353800	0.01168602	0.03000000
TO	ci_03	ci_neb	35	73	0.12148600	0.01155290	0.03000000
TO	ci_03	ci_neb	36	74	0.11945400	0.01143598	0.03000000
TO	ci_03	ci_neb	37	75	0.11745800	0.01125384	0.03000000
TO	ci_03	ci_neb	38	76	0.11547100	0.01110283	0.03000000
TO	ci_03	ci_neb	39	77	0.11363900	0.01098245	0.03000000
TO	ci_03	ci_neb	40	78	0.11182000	0.01083182	0.03000000
TO	ci_03	ci_neb	41	79	0.11005000	0.01069349	0.03000000
TO	ci_03	ci_neb	42	80	0.10835700	0.01056637	0.03000000
TO	ci_03	ci_neb	43	81	0.10646600	0.01041767	0.03000000
TO	ci_03	ci_neb	44	82	0.10453600	0.01030503	0.03000000
TO	ci_03	ci_neb	45	83	0.10282800	0.01018045	0.03000000
TO	ci_03	ci_neb	46	84	0.10019200	0.01009060	0.03000000
